NEGATIVE #	SUBJECT	LOCATION	COUNTY	STATE	COUNTRY	MONTH	DAY	YEAR	PHOTOGRAPHER	GLASS PLATE	CELLULOID	SAFETY FILM	SIZE	BLACK & WHITE	COLOR	4X5 COPY NEGATIVE	35MM SLIDE	PRINT ON FILE	COMMENTS1	COMMENTS2	PUBLISHED
176	Dinosaur Quarry (from `Life' magazine; January 1937).	Dinosaur National Monument	Uintah	Utah	USA					Y			4x5	Y							
177	Airing out the bedding on Sunday morning after a rain. At Castle rock Ranch, Running Water.	Castle Rock Ranch	Sioux	Nebraska	USA			1905?		Y			5x7	Y		Y		Y			
178	The S-E Ranch on Warbonnet Creek. Showing the foliage growing on the Oligocene formation.		Sioux	Nebraska	USA					Y			5x7	Y		Y		Y			
179	Taking out a camel skull and neck on the Upper Harrison beds on White River.		Sioux	Nebraska	USA					Y			5x7	Y		Y		Y			
180	Upper Lance Creek. Oligocene buttes in left foreground resting on the Lance Formation.			Wyoming	USA				J B Hatcher	Y			5x7	Y				Y			
181a	Two men eating in tent; Jacob Wortman on left, Walter Granger at right.								AMNH photo	Y			5x7	Y		Y		Y	Camps (glass negative has 2 pictures on one plate; AMNH photos - Bone Cabin?)		
181b	Camp: man with tent and wagon.												5x7			Y		Y	Camps (glass negative has 2 pictures on one plate; AMNH photos - Bone Cabin?)		
182a	Apatosaurus vertebrae, Dinosaur Quarry.			Utah	USA					Y			5x7	Y		Y		Y	Glass negative has 3 pictures on plate.		
182b	Apatosaurus humerus and scapula; Dinosaur Quarry.												5x7			Y		Y	Glass negative has 3 pictures on plate.		
182c	Teleodus quarry, Duchesne River beds.												5x7			Y		Y	Glass negative has 3 pictures on plate.		
183	Geologic time chart with pictures.									Y			5x7	Y				Y			
184	Mrs Douglass and Gawin.	Dinosaur National Monument		Utah	USA					Y			4x5	Y				TO BE MADE	No print in book as yet.		
185	Naginey Cave. Opened up by the National Limestone Quarry, Naginey, Mifflin County, PA, near Lewistown, PA. Men removing the stalagmite.	Naginey Cave, near Lewistown	Mifflin	Pennsylvania	USA			1911	Arthur S Coggeshall	Y			5x7	Y		Y		Y	See 15th Annual Report for year ending March 31; 1912: `The most notable addition to the Mineralogical Section during the year was a large number of beautiful calcite specimens taken from a cave at Naginey; Mifflin County; Pennsylvania.'		
186	Naginey Cave opened by National Limestone Quarry, Naginey, Miffline County, PA, near Lewistown, PA.	Naginey Cave, near Lewistown	Mifflin	Pennsylvania	USA			1911	Arthur S Coggeshall	Y			5x7	Y		Y		Y			
187	Naginey Cave. Stalagmites in Naginey Cave.	Naginey Cave	Mifflin	Pennsylvania	USA			1911	Arthur S Coggeshall	Y			5x7	Y		Y		Y			
188	Quarry at Gettysburg where fossil dinosaur tracks were found.		Adams	Pennsylvania	USA					Y			5x7	Y				Y			
189	Published print of sand waves carved by an ebb tide.									Y			4x5 (3¼ x 4)	Y				TO BE MADE			
190	Green River shales; near Rifle (photo of a photo print).	Near Rifle	Garfield	Colorado	USA					Y			4x5 (3¼ x 4)	Y				TO BE MADE			
191	Dinosaur map (part of Dinosaur quarry map; 2 copies).									Y			4x5 (3¼ x 4)	Y				TO BE MADE			
192	Birthoud Pass (2 copies).			Utah?	USA					Y			4x5 (3¼ x 4)	Y				TO BE MADE			
193	Published photo: Hauling the collection out of Sand Creek.									Y			4x5 (3¼ x 4)	Y				TO BE MADE			
194	Loading boxes of dinosaur bones onto narrow-gauge railroad at Watson (Uinta R.R.) (photo of a photo print).	Watson		Utah	USA					Y			4x5 (3¼ x 4)	Y		Y		Y			
195a	View of bones in Rhinoceros Quarry; Brown's Park Formation on Weller Ranch.	Weller Ranch	Moffat	Colorado	USA			1926										TO BE MADE			
195b			Moffat	Colorado	USA			1926										TO BE MADE			
195c	Crossbedding in the Brown's Park Formation at mouth of Sand Creek	Sand Creek	Moffat	Colorado	USA			1926										TO BE MADE			
195d	View of bones in Rhinoceros Quarry.	Weller Ranch	Moffat	Colorado	USA			1926										TO BE MADE			
195e	Weller Horizon; Brown's Park Formation.	Weller Ranch	Moffat	Colorado	USA			1926										TO BE MADE			
195f	Looking east down Weller Draw on Weller Ranch; Brown's Park Formation on left; Cambrian quartzite on right.	Weller Ranch	Moffat	Colorado	USA			1926										TO BE MADE			
195g	View showing dip of Brown's Park Formation at mouth of Sand Creek.	Sand Creek	Moffat	Colorado	USA			1926										TO BE MADE			
195h			Moffat	Colorado	USA			1926										TO BE MADE			
195i	(no negative)		Moffat	Colorado	USA			1926										TO BE MADE			
195j	(no negative) Looking northwest from west rim of Adobe Town.		Moffat	Colorado	USA			1926										TO BE MADE			
195k	(no negative) Looking southeast from west rim of Adobe Town.		Moffat	Colorado	USA			1926										TO BE MADE			
196	Envelope labeled `negatives of field work; Sheep Creek; Wyoming?' etc (nine 3x5 negatives). (Agate Springs Quarry; borrowed by Bob Hunt; 11/13/1981).																	TO BE MADE			
197	Envelope labeled `rock sculpture; Stone Cappi Tower; Devil's Play Ground; Utah' (thirty 3x5 negatives; one print).	Devil's Playground		Utah	USA													TO BE MADE			
198	Princeton expedition to Patagonia; 1897-1898. View near Cape Fairweather showing the concentric manner in which the shingle formation has been deposited.	Patagonia			Argentina			1897-1898	J B Hatcher									TO BE MADE			
