NEGATIVE #	SUBJECT	LOCATION	COUNTY	STATE	COUNTRY	MONTH	DAY	YEAR	PHOTOGRAPHER	GLASS PLATE	CELLULOID	SAFETY FILM	SIZE	BLACK & WHITE	COLOR	4X5 COPY NEGATIVE	35MM SLIDE	PRINT ON FILE	COMMENTS1	COMMENTS2	PUBLISHED
296	CM 5118 Microdon bernardi	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 52, fig. 2
297	CM 5401 Lepisosteus sp									Y			8x10	Y				Y			
298	CM 4102 Portheus mollosus									Y			8x10	Y				Y			
299	CM 4471 Stenopterygius sp.									Y			5x7	Y				Y	See also negative 655.		Founder's Day Report, 1903.
300	Fossil fish									Y			8x10	Y				Y			
301	Fossil fish									Y			8x10	Y				Y			
302	Fossil fish									Y			8x10	Y				Y			
303	Fossil fish									Y			8x10	Y				Y			
304	Fossil fish									Y			8x10	Y				Y			
305	Fossil fish									Y			8x10	Y				Y			
306	Fossil fish																				
307	Fossil fish																				
308	Fossil fish									Y			5x7	Y				Y			
309	Fossil fish									Y			5x7	Y				Y			
310	Illustration of fossil fish published in Philos. Trans. Vol. XLIX, Tab.IX, p. 297.									Y			5x7	Y				Y			
311	Fossil fish									Y			5x7	Y				Y			
312	Fossil fish									Y			5x7	Y				Y			
313	Fossil fish									Y			5x7	Y				Y			
314	Seriola prisca.									Y			5x7	Y				Y			
315	Diplomystus goodei?									Y			5x7	Y				Y			
316	Hybodus hauffianus	Holzmaden			Germany					Y			5x7	Y				Y			
317	Dercetis sp. on slab.									Y			5x7	Y				Y			Natural Science, vol. 12, pl. 10
318	Diplomystus sp									Y			8x10	Y				Y	Property of Dr. W.J. Holland		
319	Illustration of front part of Allosaurus								Sydney Prentice	Y			8x10	Y				Y			
320	Allosaurus model								Sydney Prentice	Y			8x10	Y				Y			
321	Allosaurus model								Sydney Prentice	Y			8x10	Y				Y			
322	Allosaurus model																				
323	Allosaurus model																				
324	Allosaurus model																				
325	Published illustration of restoration of Allosaurus									Y			8x10	Y				Y			
326	Nothosauridae; Pachypleurosaurus; Pachypleurosaurus - not for publication																				
327	Nothosauridae; Nothosauridae; Mystriosaurus bollensis - not for publication																				
328	Nothosauridae; nov. gen. Unicum; Nothosauridae - not for publication																				
329	CM 12020 Camarasaurus lentus skull; left side									Y			8x10	Y				Y			
330	CM 12020 Camarasaurus lentus skull and jaws									Y			8x10	Y				Y			
331	CM 12020 Camarasaurus lentus lower jaw									Y			8x10	Y				Y			
332	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (end view)									Y			8x10	Y				Y			
333	CM 3018 Apatosaurus louisae HOLOTYPE anterior caudal vertebrae (right side view)									Y			8x10	Y				Y			
334	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (end view)									Y			8x10	Y				Y			
335	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae 7-8 (end view)									Y			8x10	Y				Y			
336	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (side view)									Y			8x10	Y				Y			
337	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (end view)									Y			8x10	Y				Y			
338	CM 3018 Apatosaurus louisae HOLOTYPE anterior caudal vertebrae (end view)									Y			8x10	Y				Y			
339	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (left side view)									Y			8x10	Y				Y			
340	CM 3018 Apatosaurus louisae HOLOTYPE anterior caudal vertebrae (end view)									Y			8x10	Y				Y			
341	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (side view)									Y			8x10	Y				Y			
342	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (end view)									Y			8x10	Y				Y			
343	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (end view)									Y			8x10	Y				Y			
344	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (end view)									Y			8x10	Y				Y			
345	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (end view)									Y			8x10	Y				Y			
346	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (right side view)									Y			8x10	Y				Y			
347	CM 3018 Apatosaurus louisae HOLOTYPE anterior caudal vertebrae (end view)									Y			8x10	Y				Y			
348	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (side view)									Y			8x10	Y				Y			
349	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (side view)									Y			8x10	Y				Y			
350	CM 3018 Apatosaurus louisae HOLOTYPE caudal vertebrae (left side view)									Y			8x10	Y				Y			
351	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 8 (end view)									Y			8x10	Y				Y			
352	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 5 (end view)									Y			8x10	Y				Y			
353	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 5 (end view)									Y			8x10	Y				Y			
354	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 8 (right side view)									Y			8x10	Y				Y			
355	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 9 (end view)									Y			8x10	Y				Y			
356	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 4 (end view)									Y			8x10	Y				Y			
357	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 4 (end view)									Y			8x10	Y				Y			
358	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 8 (side view)									Y			8x10	Y				Y			
359	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 8 (end view)									Y			8x10	Y				Y			
360	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 6 (end view)									Y			8x10	Y				Y			
361	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 9 (side view)									Y			8x10	Y				Y			
362	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 10 (side view)									Y			8x10	Y				Y			
363	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebrae (end view)									Y			8x10 (6½ x 8½)	Y				Y			
364	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebrae 5-6 (right side view)									Y			8x10	Y				Y			
365	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 7 (end view)									Y			8x10	Y				Y			
366	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 10 (side view)									Y			8x10	Y				Y			
367	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 10 (end view)									Y			8x10	Y				Y			
368	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 9 (end view)									Y			8x10	Y				Y			
369	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 10 (end view)									Y			8x10	Y				Y			
370	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebrae 1-2 (right side view)									Y			8x10	Y				Y			
371	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 7 (right side view)									Y			8x10	Y				Y			
372	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 7 (end view)									Y			8x10	Y				Y			
373	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 9 (side view)									Y			8x10	Y				Y			
374	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 6 (end view)									Y			8x10	Y				Y			
375	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 7 (side view)									Y			8x10	Y				Y			
376	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebrae 5-6 (left side view)									Y			8x10	Y				Y			
377	CM 3018 Apatosaurus louisae HOLOTYPE dorsal vertebra 8 (end view - poor focus)									Y			8x10	Y				Y			
378	CM 3018 Apatosaurus louisae HOLOTYPE thoracic vertebrae (side view)									Y			8x10	Y				Y			
379	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebrae 3-4 (side view)									Y			8x10	Y				Y			
380	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebrae 3-4 (side view)									Y			8x10	Y				Y			
381	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebra 3 (end view)									Y			8x10	Y				Y			
382	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebra 3 (end view)									Y			8x10	Y				Y			
383	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebra 1 (end view)									Y			8x10	Y				Y			
384	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebra 1 (end view)									Y			8x10	Y				Y			
385	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebra 2 (end view)									Y			8x10	Y				Y			
386	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebra 2 (end view)									Y			8x10	Y				Y			
387	CM 3018 Apatosaurus louisae HOLOTYPE cervical vertebrae 2-3 (side view)									Y			8x10	Y				Y			
388	CM 3018 Apatosaurus louisae HOLOTYPE pelvis (side view)									Y			8x10 (6½ x 8½)	Y				Y			
389	CM 3018 Apatosaurus louisae HOLOTYPE left radius; ulna and foot (in matrix) (right and left views)									Y			8x10	Y				Y			
390	CM 3018 Apatosaurus louisae HOLOTYPE left radius; ulna and foot (in matrix) (right and left views)									Y			8x10	Y				Y			
391	CM 3018 Apatosaurus louisae HOLOTYPE left scapula (inner view). In Prep Lab, showing various equipment. Great historical photo!									Y			8x10	Y				Y			
392	CM 3018 Apatosaurus louisae HOLOTYPE five posterior cervical vertebrae in block; partly cleared									Y			8x10	Y				Y			
393	CM 3018 Apatosaurus louisae HOLOTYPE left radius and ulna									Y			8x10	Y				Y			
394	CM 3018 Apatosaurus louisae HOLOTYPE left humerus (anterior view)									Y			8x10	Y							
395	CM 3018 Apatosaurus louisae HOLOTYPE left humerus (side view)									Y			8x10	Y							
396	CM 3018 Apatosaurus louisae HOLOTYPE right hind leg with left hind foot; Alfred Moorhouse standing									Y			8x10	Y		Y		Y			
397	CM 3018 Apatosaurus louisae HOLOTYPE section of right femur near distal end									Y			8x10	Y							
398	CM 3018 Apatosaurus louisae HOLOTYPE section of right femur near distal end									Y			8x10	Y							
399	CM 3018 Apatosaurus louisae HOLOTYPE right femur									Y			8x10	Y							
400	CM 3018 Apatosaurus louisae HOLOTYPE left humerus (posterior view)									Y			8x10	Y							
401	CM 3018 Apatosaurus louisae HOLOTYPE section of right femur near middle of shaft									Y			8x10	Y							
402	CM 3018 Apatosaurus louisae HOLOTYPE section of right femur near middle of shaft									Y			8x10	Y							
403	CM 3018 Apatosaurus louisae HOLOTYPE left radius and ulna									Y			8x10	Y							
404	CM 3018 Apatosaurus louisae HOLOTYPE system of mounting (preliminary mount of vertebral column)	Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
405	CM 3018 Apatosaurus louisae HOLOTYPE iron support under left hind foot									Y			8x10	Y		Y		Y			
406	CM 3018 Apatosaurus louisae HOLOTYPE system of mounting (Serafino Agostini welding supports)	Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
407	CM 3018 Apatosaurus louisae HOLOTYPE system of mounting (preliminary supports for forelegs and scapula)	Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
408	CM 3018 Apatosaurus louisae HOLOTYPE system of mounting (preliminary support for foreleg)	Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
409	CM 3018 Apatosaurus louisae HOLOTYPE system of mounting (Serafino Agostini welding the steel supports)	Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
410	CM 3018 Apatosaurus louisae HOLOTYPE system of mounting (side supports for vertebrae)	Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
411	CM 3018 Apatosaurus louisae HOLOTYPE system of mounting (section of plaster support finished for carting)	Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
412	CM 3018 Apatosaurus louisae HOLOTYPE system of mounting (plaster cart under vertebral column)	Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y		Y		Y			
413	Sauropod; field no. 160 - caudal vertebrae found in serial order in Carnegie Quarry	Dinosaur National Monument		Utah	USA					Y			8x10	Y							
414	CM 3018 Apatosaurus louisae HOLOTYPE posterior cervical vertebrae in block; partly cleaned									Y			8x10	Y							
415	Apatosaurus restoration									Y			8x10	Y					Published picture, from 'Animals of the Past' by AMNH.		
416	Apatosaurus drawing by Andrey Avinoff.									Y			8x10	Y				Y			
417	CM 3018 Apatosaurus louisae HOLOTYPE 7 caudal vertebrae; the original discovery at Dinosaur Quarry; Utah. Mormon Elder Mr George Goodrich with shovel	Dinosaur National Monument	Uintah	Utah	USA			1909	Earl Douglass							Y		Y			
418	CM 3018 Apatosaurus louisae HOLOTYPE pelvis (inferior view) taken in laboratory									Y			5x7	Y				Y			
419	CM 3018 Apatosaurus louisae HOLOTYPE co-ossified vertebrae									Y			5x7	Y				Y			
420	Apatosaurus? - Arthur Coggeshall and lab work on vertebrae.	Carnegie Museum; Pittsburgh	Allegheny	Pennsylvania	USA					Y			5x7	Y				Y			
421	Camarasaurus skull during preparation.	Carnegie Museum; Pittsburgh	Allegheny	Pennsylvania	USA					Y			5x7	Y				Y			
422	Published photo of Apatosaurus mounted skeleton in AMNH.									Y			5x7	Y				Y			
423	Apatosaurus - Sunday Magazine article																				
424	Fused caudal vertebrae of dinosaur.									Y			5x7	Y				Y			
425	CM 563 Apatosaurus humerus (posterior view) and ulna (anterior view)									Y			5x7	Y				Y			
426	CM 563 Apatosaurus radius and ulna (posterior view)									Y			5x7	Y							
427	Apatosaurus forefoot; radius and ulna (taken before bones were finally taken off the original position in which they were found in the field)									Y			5x7	Y							
428	Apatosaurus radius; ulna and forefoot in position in quarry (taken in lab)	Carnegie Museum; Pittsburgh	Allegheny	Pennsylvania	USA					Y			5x7	Y				Y			
429	CM 563 Apatosaurus metacarpals in position (proximal end)									Y			5x7	Y				Y			
430	Apatosaurus radius, ulna and foot									Y			5x7	Y				Y			
431	Apatosaurus foot									Y			5x7	Y				Y			
432	Apatosaurus hind foot; tibia and fibula.									Y			5x7	Y				Y	Bicycle in background in lab.		
433	Apatosaurus hind foot (1899).									Y			5x7	Y				Y			
434	Apatosaurus foot, articulated.									Y			5x7	Y				Y			
435	Apatosaurus pelvis									Y			5x7	Y				Y			
436	Apatosaurus - cross? section of femur.									Y			5x7	Y				Y			
437	CM 878 Ophthalmosaurus discus pectoral girdle (ventral view as found in matrix: clavicle, caracoid, humerus, interclavicle, scapula).									Y			5x7	Y				Y			Gilmore: MCM 2, fig. 21, p. 109, as Baptanodon discus.
438	CM 878 Baptanodon discus									Y			8x10	Y				Y			
439	CM 878 Baptanodon discus									Y			8x10	Y				Y			
440	CM 11161 Diplodocus longus (Originally Barosaurus) skull (superior view)					3		1935	F W Kohler												
441	CM 11161 Diplodocus longus (Originally Barosaurus) skull (left side)					3		1935	F W Kohler												
442	CM 11161 Diplodocus longus (Originally Barosaurus) skull (posterior view)					3		1935	F W Kohler												
443	Brachyosaurus - field no. 150B - Dinosaur Quarry - cervical vertebrae					3		1935	F W Kohler									Y			
444	CM 11338 Camarasaurus skeleton during preparation									Y			8x10	Y							
445	CM 11338 Camarasaurus skeleton; mounted for exhibit									Y			8x10	Y							
446	CM 11338 Camarasaurus mounted for exhibit (plate is broken)									Y			8x10	Y				Y			
447	CM 11337 Camptosaurus medius in original position (complete skeleton)									Y			8x10	Y				Y			
448	CM 11337 Camptosaurus medius exhibited in the matrix									Y			8x10	Y				Y	Yellow negative.		
449	CM 11337 Camptosaurus medius restoration									Y			8x10	Y				Y	Yellow negative.		
450	Corythosaurus diorama									Y			8x10	Y				Y			
451	Corythosaurus model used in diorama.									Y			5x7	Y				Y			
452	Corythosaurus model used in diorama.									Y			5x7	Y				Y			
453	Corythosaurus model used in diorama.									Y			5x7	Y				Y			
454	CM 11375 Corythosaurus top of skull.										Y		5x7	Y				Y			
455	CM 11375 Corythosaurus top of skull.										Y		5x7	Y				Y			
456	CM 11376 Corythosaurus jaw.									Y			5x7	Y				Y			
457	CM 11376 Corythosaurus jaw.									Y			5x7	Y				Y			
458	CM 3452 Diplodocus carnegii skull in matrix.									Y			8x10	Y							
459	CM 3452 Diplodocus carnegii skull in matrix									Y			8x10	Y							
460	CM 11161 Diplodocus longus skull (superior view)									Y			8x10	Y				Y			
461	CM 11161 Diplodocus longus skull									Y			8x10	Y				Y			
462	CM 11161 Diplodocus longus skull (right side)									Y			8x10	Y				Y			
463	CM 11161 Diplodocus longus skull									Y			8x10	Y							
464	CM 11161 Diplodocus longus skull (anterior view)									Y			8x10	Y				Y			
465	CM 11161 Diplodocus longus skull (anterior view)									Y			8x10	Y				Y			
466	CM 11161 Diplodocus longus skull (posterior view)									Y			8x10	Y							
467	CM 11161 Diplodocus longus skull (left oblique view from posterior)									Y			8x10	Y							
468	CM 11161 Diplodocus longus skull (sclerotic plates in position).									Y			5x7	Y				Y			Founder's Day Report, 1914, p. 16.
469	CM 662 Diplodocus carnegii skull (anterior view of posterior part of skull)									Y			8x10	Y					Holotype of Diplodocus hayi.		yes
470	CM 662 Diplodocus carnegii skull (anterior view of posterior part of skull)									Y			8x10	Y					Holotype of Diplodocus hayi.		MCM 2, pl. 27, fig. 2
471	CM 662 Diplodocus carnegii skull (top view of posterior part of skull									Y			8x10	Y					Holotype of Diplodocus hayi.		
472	CM 662 Diplodocus carnegii skull (top view of posterior part of skull									Y			8x10	Y					Holotype of Diplodocus hayi.		
473	CM 662 Diplodocus carnegii skull (posterior view of posterior part of skull)									Y			8x10	Y					Holotype of Diplodocus hayi.		MCM 2, pl. 27, fig. 1
474	CM 662 Diplodocus carnegii skull (posterior view of posterior part of skull									Y			8x10	Y					Holotype of Diplodocus hayi.		MCM 2, pl. 27, fig. 1
475	CM 11255 Diplodocus skull									Y			8x10	Y				Y			
476	CM 11255 Diplodocus skull (anterior right side showing magazine of teeth)									Y			8x10	Y							
477	Diplodocus skull									Y			8x10	Y							
478	Diplodocus skull (portion)									Y			8x10	Y							
479	Diplodocus carnegii skeleton (cast)								Johnston Studios	Y			8x10	Y							
480	Diplodocus carnegii skull and cervical vertebrae (left side view)									Y			8x10 (6½ x 8½)	Y							
481	Diplodocus carnegii head and neck (of cast)	Taken in old Exposition Building; downtown Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y							
482	Diplodocus carnegii skull (front view)									Y			5x7	Y							
483	Diplodocus carnegii skull (right side) (of replica?).									Y			5x7	Y							
484	Diplodocus carnegii cervical vertebrae 2-3 (posterior view)																				
485	Diplodocus carnegii cervical vertebrae 2-3 (side view)																				
486	Diplodocus carnegii cervical vertebrae 2-3 (anterior view)																				
487	Diplodocus carnegii cervical vertebrae 4-5 (anterior view)																				
488	Diplodocus carnegii cervical vertebrae 4-5 (side view)																				
489	Diplodocus carnegii cervical vertebrae 5-4 (posterior view)																				
490	Diplodocus carnegii cervical vertebra 6 (anterior view)																				
491	Diplodocus carnegii cervical vertebrae (posterior view)																				
492	Diplodocus carnegii cervical vertebra 6 (side view)																				
493	Diplodocus carnegii cervical vertebra 7 (anterior view)																				
494	Diplodocus carnegii cervical vertebra 7 (posterior view)																				
495	Diplodocus carnegii cervical vertebra 7 (side view)																				
496	Diplodocus carnegii cervical vertebra 8 (posterior view)																				
497	Diplodocus carnegii cervical vertebra 8 (anterior view)																				
498	Diplodocus carnegii cervical vertebra 8 (side view)																				
499	Diplodocus carnegii cervical vertebra 9 (anterior view)																				
500	Diplodocus carnegii cervical vertebra 9 (side view)																				
501	Diplodocus carnegii cervical vertebra 9 (posterior view)																				
502	Diplodocus carnegii cervical vertebra 10 (anterior view)																				
503	Diplodocus carnegii cervical vertebra 10 (posterior view)																				
504	Diplodocus carnegii cervical vertebra 10 (side view)																				
505	Diplodocus carnegii cervical vertebra 11 (anterior view)																				
506	Diplodocus carnegii cervical vertebra 11 (side view)																				
507	Diplodocus carnegii cervical vertebra 11 (posterior view)																				
508	Diplodocus carnegii cervical vertebra 12 (side view)																				
509	Diplodocus carnegii cervical vertebra 12 (anterior view)																				
510	Diplodocus carnegii cervical vertebra 12 (posterior view)																				
511	Diplodocus carnegii cervical vertebra 13 (side view)																				
512	Diplodocus carnegii cervical vertebra 13 (anterior view)																				
513	Diplodocus carnegii cervical vertebra 13 (posterior view)																				
514	Diplodocus carnegii cervical vertebra 14 (posterior view)																				
515	Diplodocus carnegii cervical vertebra 14 (side view)																				
516	Diplodocus carnegii cervical vertebra 14 (anterior view)																				
517	Diplodocus carnegii cervical vertebra 15 (anterior view)																				
518	Diplodocus carnegii cervical vertebra 15 (side view)																				
519	Diplodocus carnegii cervical vertebra 15 (posterior view)																				
520	Diplodocus carnegii dorsal vertebra 16 (posterior view)																				
521	Diplodocus carnegii dorsal vertebra 16 (side view)																				
522	Diplodocus carnegii dorsal vertebra 16 (anterior view)																				
523	Diplodocus carnegii dorsal vertebra 17 (side view)																				
524	Diplodocus carnegii dorsal vertebra 17 (posterior view)																				
525	Diplodocus carnegii dorsal vertebra 17 (anterior view)																				
526	Diplodocus carnegii dorsal vertebra 18 (posterior view)																				
527	Diplodocus carnegii dorsal vertebra 18 (side view)																				
528	Diplodocus carnegii dorsal vertebra 18 (anterior view)																				
529	Diplodocus carnegii dorsal vertebra 19 (anterior view)																				
530	Diplodocus carnegii dorsal vertebra 19 (posterior view)																				
531	Diplodocus carnegii dorsal vertebra 19 (side view)																				
532	Diplodocus carnegii dorsal vertebra 20 (posterior view)																				
533	Diplodocus carnegii dorsal vertebra 20 (anterior view)																				
534	Diplodocus carnegii dorsal vertebra 20 (side view)																				
535	Diplodocus carnegii dorsal vertebra 21 (anterior view)																				
536	Diplodocus carnegii dorsal vertebra 21 (side view)																				
537	Diplodocus carnegii dorsal vertebra 21 (posterior view)																				
538	Diplodocus carnegii dorsal vertebra 22 (anterior view)																				
539	Diplodocus carnegii dorsal vertebra 22 (side view)																				
540	Diplodocus carnegii dorsal vertebra 22 (posterior view)																				
541	Diplodocus carnegii dorsal vertebra 23 (side view)																				
542	Diplodocus carnegii dorsal vertebra 23 (anterior view)																				
543	Diplodocus carnegii dorsal vertebra 23 (posterior view)																				
544	Diplodocus carnegii dorsal vertebra 24 (anterior view)																				
545	Diplodocus carnegii dorsal vertebra 24 (posterior view)																				
546	Diplodocus carnegii dorsal vertebra 24 (side view)																				
547	Diplodocus carnegii dorsal vertebra 25 (side view)																				
548	Diplodocus carnegii dorsal vertebra 25 (anterior view)																				
549	Diplodocus carnegii dorsal vertebra 25 (posterior view)																				
550	Diplodocus carnegii (cast of replica made for Russia) - side of posterior thorax. Mounted in sprawled position for illustration in Holland's 1910 paper. See Papyrus entry.									Y			8x10	Y							
551	Diplodocus carnegii dorsal vertebrae									Y			5x7 (6½ x 4¼)	Y				Y			
552	Diplodocus carnegii cervical vertebrae									Y			5x7 (6½ x 4¼)	Y				Y			
553	Diplodocus carnegii cervical vertebrae									Y			5x7 (6½ x 4¼)	Y				Y			
554	CM 84 Diplodocus carnegii vertebrae									Y			5x7 (6½ x 4¼)	Y				Y			
555	CM 94 Diplodocus carnegii right scapula									Y			5x7 (6½ x 4¼)	Y				Y			
556	Diplodocus carnegii sternal plates																				
557	Diplodocus carnegii caudal vertebra 1 (anterior view)																				
558	Diplodocus carnegii caudal vertebra 1 (posterior view)																				
559	Diplodocus carnegii caudal vertebra 1 (side view)																				
560	Diplodocus carnegii caudal vertebrae 2-3 (side view)																				
561	Diplodocus carnegii caudal vertebrae 2-3 (posterior view)																				
562	Diplodocus carnegii caudal vertebrae 2-3 (anterior view)																				
563	Diplodocus carnegii caudal vertebra 4 (anterior view)																				
564	Diplodocus carnegii caudal vertebra 4 (side view)																				
565	Diplodocus carnegii caudal vertebra 4 (posterior view)																				
566	Diplodocus carnegii caudal vertebra 5 (anterior view)																				
567	Diplodocus carnegii caudal vertebra 5 (side view)																				
568	Diplodocus carnegii caudal vertebra 5 (posterior view)																				
569	Diplodocus carnegii caudal vertebra 6 (anterior view)																				
570	Diplodocus carnegii caudal vertebra 6 (posterior view)																				
571	Diplodocus carnegii caudal vertebra 6 (side view)																				
572	Diplodocus carnegii caudal vertebra 7 (posterior view)																				
573	Diplodocus carnegii caudal vertebra 7 (side view)																				
574	Diplodocus carnegii caudal vertebra 7 (anterior view)																				
575	Diplodocus carnegii caudal vertebra 8 (side view)																				
576	Diplodocus carnegii caudal vertebra 8 (posterior view)																				
577	Diplodocus carnegii caudal vertebra 8 (anterior view)																				
578	Diplodocus carnegii caudal vertebra 9 (side view)																				
579	Diplodocus carnegii caudal vertebrae 9-10 (anterior view)																				
580	Diplodocus carnegii caudal vertebrae 9-10 (posterior view)																				
581	Diplodocus carnegii caudal vertebra 10 (side view)																				
582	Diplodocus carnegii caudal vertebrae 11-12 (anterior view)																				
583	Diplodocus carnegii caudal vertebrae 11-12 (posterior view)																				
584	Diplodocus carnegii caudal vertebrae 11-12 (side view)																				
585	Diplodocus carnegii co-ossified caudal vertebrae																				
586	Diplodocus carnegii caudal vertebra; probably 8 (side view)									Y			5x7	Y				Y			
587	Diplodocus carnegii vertebrae.									Y			5x7	Y				Y			
588	Diplodocus carnegii humerus; distal end of radius and ulna (part of 563?) (anterior view)								Arthur S Coggeshall	Y			5x7	Y				Y			
589	Diplodocus carnegii femur (front view)									Y			5x7	Y				Y			
590	Diplodocus carnegii femur (tibial face) (taken in lab)									Y			5x7	Y				Y			
591	Diplodocus carnegii femur (side view)									Y			5x7	Y				Y			
592	Diplodocus carnegii - two femora									Y			5x7	Y				Y			
593	Diplodocus carnegii femur (section)									Y			5x7	Y				Y			Published by Hatcher.
594	Diplodocus carnegii femur (cross-sections)									Y			5x7	Y				Y			
595	Diplodocus carnegii femur (cross-section)									Y			5x7	Y				Y			
596	Diplodocus carnegii femur (cross-section, near head)									Y			5x7	Y				Y			
597	Diplodocus carnegii hind limb and foot, Arthur S. Coggeshall standing.								Arthur S Coggeshall	Y			5x7	Y				Y			
598	CM 94 Diplodocus carnegii right tibia fibula and hind foot.									Y			5x7	Y				Y			
599	Diplodocus carnegii tibia; fibula and foot.									Y			5x7	Y				Y			
600	Diplodocus carnegii hind limb and foot.									Y			5x7	Y				Y			
601	Diplodocus carnegii front limb.									Y			5x7	Y				Y			
602	Diplodocus carnegii left foot.									Y			5x7	Y				Y			
603	Diplodocus longus pelvis and caudal vertebrae																				
604	CM 94 Diplodocus carnegii pubis and ischium of right side.									Y			5x7	Y				Y			
605	CM 94 Diplodocus carnegii ilium.									Y			5x7	Y				Y			
606	Diplodocus carnegii pelvis.									Y			5x7	Y				Y			
607	Diplodocus carnegii (cast of replica made for Russia) - part of pelvis (side view). Mounted in sprawled position for illustration in Holland's 1910 paper. See Papyrus entry.									Y			5x7	Y				Y			
608	Diplodocus carnegii (cast of replica made for Russia) pelvis, ribs and hind limbs. Mounted in sprawled position for illustration in Holland's 1910 paper. See Papyrus entry.									Y			8x10	Y							
609	Diplodocus carnegii fore limb									Y			8x10	Y							
610	Diplodocus carnegii - system of mounting: pectoral girdle (from in front)									Y			8x10 (6½ x 8½)	Y							
611	Diplodocus carnegii - system of mounting: pectoral girdle (side view)									Y			8x10 (6½ x 8½)	Y							
612	Diplodocus carnegii - group of men around Diplodocus									Y			8x10	Y		Y		Y			
613	Diplodocus carnegii - display platform being built (posterior view)									Y			8x10	Y		Y		Y	Museum guard in picture.		
614	Diplodocus carnegii - members of American Association of Museums assembled about the skeleton in the Carnegie Museum; June 5; 1907. (5 sections to complete photograph.) Section 1: head and neck	Carnegie Museum; Pittsburgh	Allegheny	Pennsylvania	USA					Y			8x10	Y				Y			See Proc. Amer. Assoc. Mus., vol. 1, 1907, p. 25.
